P1	P2	A
-1.554605432945142862e+00	-5.116992224336828210e-01	3.000000000000000000e+00
-1.461872186539292739e+00	-3.299304785291238828e-01	2.000000000000000000e+00
-1.760282100433576913e+00	-1.549967682997015206e-01	2.000000000000000000e+00
-1.032639962508492326e+00	1.774414124515006241e+00	3.000000000000000000e+00
-1.048276216307692188e+00	2.110690069336068397e+00	2.000000000000000000e+00
-2.631782479996344293e+00	-1.853888667618978359e-01	2.000000000000000000e+00
-1.165354011385312472e+00	-8.715170933042111490e-02	3.000000000000000000e+00
-1.605340500327670394e+00	2.563939305566661012e-02	2.000000000000000000e+00
-1.464793419578551248e+00	-5.718609419124730531e-01	3.000000000000000000e+00
-1.115173138696898603e+00	-5.102057908829068372e-02	2.000000000000000000e+00
-1.093078466281406813e+00	-2.471075298830898159e-01	2.000000000000000000e+00
-9.040626747866352675e-01	-4.586951486951924561e-01	2.000000000000000000e+00
-6.850718011355294568e-01	-3.672306384883147756e-01	3.000000000000000000e+00
-8.429077688894920373e-02	1.385549726364558198e+00	3.000000000000000000e+00
-1.111640568369963278e+00	6.371761405149206636e-01	3.000000000000000000e+00
-4.616587905825806359e-01	-6.796786309979842011e-01	2.000000000000000000e+00
-3.012637445225269106e-01	-1.091062899865937963e+00	3.000000000000000000e+00
2.079401189324671329e+00	1.726657612509148843e+00	2.000000000000000000e+00
2.324176018555224044e+00	1.131797921090337722e+00	3.000000000000000000e+00
-1.800767100475644256e+00	-1.478032602280646035e+00	3.000000000000000000e+00
-1.433170197501892451e+00	-3.105466491165304599e-01	2.000000000000000000e+00
-1.433170197501892451e+00	-3.105466491165304599e-01	2.000000000000000000e+00
-2.541228057198391177e+00	-6.148995951412393746e-01	2.000000000000000000e+00
-9.267642103469899695e-01	1.406081316117930857e-01	2.000000000000000000e+00
-2.947222366090153312e+00	-9.132421392191604204e-01	3.000000000000000000e+00
-2.115309186549930054e+00	-6.555762471343548059e-01	2.000000000000000000e+00
-1.879105539250439882e+00	5.433822662487343136e-01	3.000000000000000000e+00
-1.171300199723537494e+00	8.061400577590975836e-01	2.000000000000000000e+00
-1.166345442723706771e+00	-4.226431552318636320e-01	2.000000000000000000e+00
1.097078245648594352e+00	1.532252878971179122e+00	3.000000000000000000e+00
-1.683606252761626898e+00	1.243489787134108404e+00	3.000000000000000000e+00
-1.992868696739538148e+00	-1.317063662691344561e+00	3.000000000000000000e+00
-8.688692984772579120e-01	-1.987108569709470363e+00	3.000000000000000000e+00
-7.111073623219937856e-01	-1.144211372691098072e+00	2.000000000000000000e+00
-4.631341416162507718e-01	1.541511316512404139e+00	3.000000000000000000e+00
1.379293438894722890e+00	-6.675025008464418041e-01	2.000000000000000000e+00
-8.882924750813779857e-01	1.512432339226351674e+00	2.000000000000000000e+00
-1.130176016566053931e+00	2.192698319123401074e+00	2.000000000000000000e+00
-8.977378829776639924e-01	1.848189531673062547e+00	3.000000000000000000e+00
-1.390808806908853557e+00	8.394665348180709863e-01	2.000000000000000000e+00
-2.918013371358088914e+00	-1.061697657787544324e+00	2.000000000000000000e+00
-3.641743888784709338e+00	-2.528553939956093011e+00	3.000000000000000000e+00
-1.147232381061514594e+00	-6.803175252007402918e-01	2.000000000000000000e+00
-1.408295419723193831e+00	-1.416859816852844567e+00	2.000000000000000000e+00
-1.286078992488350003e+00	-1.393914837052227407e+00	2.000000000000000000e+00
3.710459392726707772e+00	-1.464124661524583315e+00	3.000000000000000000e+00
-1.782212100869671856e+00	1.109803434909253594e+00	2.000000000000000000e+00
-2.919216167477563517e-01	-3.308112364847135001e-01	2.000000000000000000e+00
-1.639919227758583453e+00	1.320441855371371209e-01	3.000000000000000000e+00
-1.161270251378552887e+00	9.037261045059278297e-01	2.000000000000000000e+00
-1.038713833342701509e+00	7.883203937150436991e-01	2.000000000000000000e+00
-1.650406532364567358e+00	2.078852273760927183e+00	2.000000000000000000e+00
-1.739623762923764083e+00	1.131047093841113654e-01	3.000000000000000000e+00
-1.843092945081354905e+00	7.087963784728722461e-01	3.000000000000000000e+00
-1.626196244952011094e+00	1.389863420621361367e+00	2.000000000000000000e+00
-1.708574191596128333e+00	-4.772852846885767275e-01	2.000000000000000000e+00
-1.876045348726549378e+00	9.413545196112651503e-01	2.000000000000000000e+00
4.240965483436776040e-01	6.718783976208207998e-01	3.000000000000000000e+00
8.831265910563933508e-01	1.380001079423126775e+00	2.000000000000000000e+00
1.208241946863388261e+00	3.884964039379646406e-01	3.000000000000000000e+00
-1.017122253516182129e+00	7.657869015568151694e-01	2.000000000000000000e+00
8.598371627756326574e-02	-3.455279650768416366e-01	2.000000000000000000e+00
-3.884526313129721409e-01	1.788913479774679738e+00	2.000000000000000000e+00
-7.083680663792520926e-01	-1.098633215563419530e+00	2.000000000000000000e+00
-1.446482390693955455e+00	-6.888546974341118734e-01	3.000000000000000000e+00
-1.641521362640036896e+00	-1.343261400877672207e+00	3.000000000000000000e+00
-1.029632057107763288e+00	2.451264276896965022e+00	2.000000000000000000e+00
-8.546828326701149114e-01	-3.236130851859239099e-01	2.000000000000000000e+00
-1.274736890588424432e+00	-2.893436834011479664e-01	2.000000000000000000e+00
2.758014752955598503e+00	4.211761976927421575e-02	2.000000000000000000e+00
-7.355056734374790239e-02	-5.524637593369858823e-01	3.000000000000000000e+00
2.274754659625258524e-01	-4.432230751115595058e-01	2.000000000000000000e+00
-1.759050727335320419e+00	1.556128471028871196e+00	2.000000000000000000e+00
1.694334161743777267e+00	-4.754321703811524857e-01	2.000000000000000000e+00
