State,Severity,End_Time,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
NJ,2,2,46.0,44.8,2.0,0.01
NY,3,3,21.0,8.6,1.5,0.0
KY,3,3,32.0,23.0,6.0,0.0
OR,2,3,46.0,44.8,3.0,0.06
NY,3,4,25.0,16.3,10.0,0.0
MI,3,1,28.0,20.0,0.2,0.03
MI,3,1,27.0,15.6,1.8,0.0
MI,3,1,23.0,9.6,1.5,0.0
NJ,3,2,33.1,28.7,6.0,0.0
OR,2,5,46.0,38.5,5.0,0.23
OR,2,6,42.1,39.2,9.0,0.01
PA,3,7,44.1,42.5,2.5,0.03
GA,3,6,44.1,42.5,6.0,0.02
UT,2,3,28.9,25.2,2.0,0.06
OR,2,7,43.0,39.5,6.0,0.01
RI,2,4,41.0,38.0,10.0,0.0
OR,2,4,45.0,38.9,5.0,0.13
OR,2,5,41.0,38.0,10.0,0.0
OR,2,7,33.1,30.0,5.0,0.0
OR,2,1,37.0,30.4,0.2,0.0
CA,2,1,46.4,40.7,0.2,0.07
UT,2,3,32.0,22.1,1.5,0.05
MI,4,4,41.0,32.5,2.0,0.01
OH,2,4,44.1,39.5,10.0,0.01
NC,2,5,44.1,39.0,2.0,0.16
ME,2,5,19.9,12.1,1.0,0.0
OR,2,5,45.0,39.3,10.0,0.0
IL,4,6,28.0,21.7,5.0,0.0
NY,2,7,21.0,16.2,1.0,0.0
UT,2,7,28.0,24.2,10.0,0.0
CO,3,1,8.1,-7.0,1.5,0.0
MO,2,2,46.0,44.8,10.0,0.01
KY,2,5,42.1,40.2,6.0,0.01
NC,2,1,42.1,37.7,8.0,0.01
NC,2,1,44.1,39.5,1.5,0.23
MO,4,1,28.0,18.1,0.8,0.0
MI,4,2,30.0,22.4,2.0,0.0
ME,2,2,32.0,26.4,0.2,0.12
NY,4,2,28.9,18.6,9.0,0.0
TN,2,3,42.1,38.4,1.8,0.05
NY,4,4,28.0,20.8,0.2,0.03
VA,2,4,30.9,22.2,2.0,0.04
MD,2,4,36.0,28.5,3.0,0.03
NJ,2,4,28.9,18.2,0.2,0.0
NY,2,5,30.0,23.2,0.5,0.04
NY,2,5,32.0,23.6,1.8,0.0
OH,2,1,41.0,36.4,5.0,0.0
NH,2,2,33.1,26.1,0.5,0.04
OR,2,4,46.4,41.5,6.0,0.04
OR,2,4,37.9,34.4,1.0,0.0
MI,4,1,30.9,18.1,1.2,0.03
MI,2,1,36.0,25.0,2.0,0.03
OH,2,1,32.0,23.6,4.0,0.0
IL,4,1,33.1,18.4,0.8,0.0
UT,2,3,37.0,33.3,3.0,0.01
KS,3,5,43.0,41.3,7.0,0.0
MI,3,1,45.0,36.4,10.0,0.0
MN,3,3,25.0,12.2,0.8,0.01
MN,2,1,27.0,23.0,1.8,0.0
IL,2,1,33.1,30.0,2.5,0.0
ME,2,7,28.0,17.0,9.0,0.0
IL,3,2,33.1,22.2,10.0,0.0
IL,4,3,32.0,24.2,1.2,0.04
NY,2,4,36.0,33.3,10.0,0.0
NC,2,2,44.1,40.8,2.0,0.08
MA,2,3,30.0,20.5,1.0,0.01
MI,2,3,28.0,15.3,2.5,0.0
NY,2,3,34.0,25.0,2.0,0.04
IN,4,1,33.1,23.9,1.5,0.04
AZ,2,7,37.9,31.5,6.0,0.04
NY,2,2,37.0,32.4,10.0,0.01
DC,2,2,37.0,27.4,4.0,0.1
VA,2,2,33.8,25.3,2.5,0.03
OH,2,3,30.0,21.7,1.0,0.0
WA,4,5,37.9,28.5,10.0,0.01
WA,2,5,42.1,33.9,10.0,0.03
MI,2,3,17.6,9.3,3.0,0.01
MN,2,1,23.0,10.1,3.0,0.0
TX,2,4,37.9,30.5,2.0,0.0
NY,2,5,37.9,30.9,10.0,0.01
TX,2,2,28.9,21.9,9.0,0.0
MI,4,3,19.9,8.6,0.5,0.0
MI,2,4,17.1,7.6,7.0,0.0
MI,2,4,12.9,1.6,1.0,0.0
SC,2,3,28.9,19.2,6.0,0.05
NY,2,4,19.9,4.3,0.5,0.0
NJ,2,4,23.0,8.3,0.8,0.01
NY,2,5,3.9,-18.5,3.0,0.0
NC,2,2,39.9,36.7,10.0,0.0
IL,3,4,46.0,41.4,10.0,0.01
WA,2,4,43.0,41.3,7.0,0.09
IN,2,5,25.0,11.3,8.0,0.0
