State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
PA,5,2,37.0,26.4,7.0,0.02
CT,5,2,41.0,31.4,10.0,0.08
CT,5,2,34.0,18.4,1.0,0.0
RI,5,3,45.0,34.3,2.0,0.04
CT,5,3,41.0,31.9,10.0,0.0
PA,5,2,35.1,23.0,10.0,0.0
CA,6,2,43.0,39.5,10.0,0.04
MN,7,2,35.1,27.9,10.0,0.01
MN,7,3,37.9,26.8,10.0,0.02
UT,7,3,36.0,32.1,10.0,0.0
MN,1,3,28.9,19.2,0.2,0.02
MN,1,2,35.1,26.4,10.0,0.0
MN,1,3,28.9,16.1,1.0,0.01
WA,1,2,39.2,35.0,10.0,0.04
NC,2,2,44.1,40.8,2.0,0.08
NC,2,3,38.7,33.6,3.0,0.02
NC,2,2,41.0,38.0,5.0,0.04
NC,2,2,41.0,37.1,6.0,0.06
SC,2,2,46.0,43.9,2.5,0.01
MN,2,3,28.9,19.8,3.0,0.0
MI,3,3,27.0,15.2,5.0,0.0
MI,3,3,26.6,15.2,4.0,0.0
MI,3,3,26.6,15.2,4.0,0.0
CT,3,3,32.0,23.6,1.2,0.01
NY,3,3,37.0,26.7,10.0,0.0
NJ,3,2,35.1,24.5,3.0,0.14
PA,3,3,33.1,27.7,3.0,0.0
MI,4,2,28.9,18.6,2.5,0.0
MI,4,2,28.0,17.0,2.5,0.0
MI,4,2,27.0,15.6,2.5,0.0
NY,4,2,30.9,20.2,10.0,0.0
NY,5,3,32.0,21.6,5.0,0.0
NY,5,2,28.9,19.8,1.2,0.0
NY,5,2,28.9,19.8,1.8,0.0
NY,5,3,30.9,22.2,2.0,0.0
NY,1,2,30.9,22.8,9.0,0.0
NY,1,2,30.9,22.8,9.0,0.0
SC,1,3,37.4,31.4,3.0,0.01
NC,1,2,37.0,29.8,3.0,0.03
NC,1,2,39.9,35.1,10.0,0.0
NC,1,2,39.0,35.7,10.0,0.0
VA,1,3,33.1,23.9,0.5,0.1
SC,1,2,37.9,30.9,8.0,0.02
SC,1,2,39.2,29.3,10.0,0.0
MI,2,2,28.9,18.6,10.0,0.0
MI,2,2,33.1,23.0,9.0,0.0
MI,2,2,28.0,18.1,4.0,0.0
MI,2,2,30.9,19.8,10.0,0.0
IL,2,2,28.9,16.9,10.0,0.0
NY,3,2,30.0,21.7,0.5,0.02
NY,3,2,30.0,18.7,0.8,0.04
NY,3,2,32.0,19.5,1.0,0.0
NY,3,2,32.0,21.2,1.5,0.0
NY,3,2,30.9,18.7,1.0,0.0
NY,3,2,30.0,18.7,1.2,0.0
OH,3,3,25.0,15.5,5.0,0.0
NY,5,2,25.0,12.2,8.0,0.0
OR,5,2,43.0,40.3,10.0,0.0
CA,5,2,42.8,40.1,10.0,0.02
