P1	P2	A	D
1.441930363653867557e-02	-1.932613799463688942e+00	3.000000000000000000e+00	6.000000000000000000e+00
-2.095339313246822766e+00	-4.308785570026008593e-01	2.000000000000000000e+00	6.000000000000000000e+00
-1.226887994747601685e+00	-1.726097565528563305e+00	3.000000000000000000e+00	6.000000000000000000e+00
-1.242980629848845053e+00	-1.523412088947836640e+00	3.000000000000000000e+00	6.000000000000000000e+00
-1.327785449801790696e+00	-6.368275447126501287e-01	2.000000000000000000e+00	6.000000000000000000e+00
-9.817897622752644882e-01	-1.663619611662388698e+00	3.000000000000000000e+00	6.000000000000000000e+00
6.588372116213101481e-01	-2.335016446499521781e+00	3.000000000000000000e+00	7.000000000000000000e+00
-9.065885410863815386e-01	-1.858083017180683472e+00	3.000000000000000000e+00	7.000000000000000000e+00
-2.277332479426006917e-01	-2.124613472861297758e+00	3.000000000000000000e+00	7.000000000000000000e+00
-1.631973812490721043e+00	-2.131577188469427231e+00	3.000000000000000000e+00	7.000000000000000000e+00
-3.682646688828236092e-01	-2.293776927713423230e+00	3.000000000000000000e+00	7.000000000000000000e+00
2.439665318216647782e-01	1.530080812050545802e+00	2.000000000000000000e+00	1.000000000000000000e+00
3.685927359816217885e-01	1.484053987296595212e+00	2.000000000000000000e+00	1.000000000000000000e+00
-5.625675185446952359e-02	1.358569088309819373e+00	2.000000000000000000e+00	1.000000000000000000e+00
-8.157341103032431651e-01	-4.240882767987325802e-02	3.000000000000000000e+00	1.000000000000000000e+00
-1.101856845603241597e+00	1.605416174250060779e+00	2.000000000000000000e+00	1.000000000000000000e+00
-9.434093177138180852e-01	1.608943574653573627e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.764873688381115580e+00	6.949983395416091869e-04	3.000000000000000000e+00	2.000000000000000000e+00
5.429775307243454030e-01	5.509391212443236485e-01	2.000000000000000000e+00	3.000000000000000000e+00
-7.594993625019073880e-02	5.345454356792048722e-01	2.000000000000000000e+00	3.000000000000000000e+00
1.002586347452494753e+00	3.873028433514291158e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.183493826024484052e+00	4.425363403509422477e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.071352721347064163e+00	2.986499485972211043e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.071352721347064163e+00	2.986499485972211043e-01	2.000000000000000000e+00	4.000000000000000000e+00
-9.820926747900499132e-01	4.314812423783935258e-01	2.000000000000000000e+00	4.000000000000000000e+00
-2.541446185850573802e-01	-3.755277958451569420e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.580117298410423921e+00	-1.507631554354477432e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.276672051212099923e+00	-1.300314888565083704e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.697681764539582749e+00	-3.809254312306682433e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.311945395824676730e+00	-3.696329359910633383e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.270779162873317381e+00	-3.637046587726137092e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.351072526364451409e+00	-2.572725082287309339e-01	2.000000000000000000e+00	5.000000000000000000e+00
-2.149399092273740930e+00	-1.203431802809309392e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.408912190234256290e+00	-1.470483791209604485e+00	3.000000000000000000e+00	5.000000000000000000e+00
-2.298581775580516573e-01	-2.286513208711602019e+00	3.000000000000000000e+00	7.000000000000000000e+00
-1.045656422140378794e+00	-2.332168459809459193e+00	3.000000000000000000e+00	7.000000000000000000e+00
-1.211662160139808542e+00	-2.382635522536498573e+00	3.000000000000000000e+00	7.000000000000000000e+00
-1.432081380047079966e+00	1.594277445586851805e+00	2.000000000000000000e+00	1.000000000000000000e+00
-2.044079106861661721e+00	3.712163852774192918e-01	3.000000000000000000e+00	1.000000000000000000e+00
9.008162677131397178e-01	1.281558812251139212e+00	2.000000000000000000e+00	2.000000000000000000e+00
-1.919588603763839219e+00	2.183432082334509916e-01	2.000000000000000000e+00	4.000000000000000000e+00
-2.209191102250749328e+00	5.406842723910543214e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.332291007796515103e+00	-3.102261399053988719e-02	2.000000000000000000e+00	5.000000000000000000e+00
-3.929665576405426131e-01	-1.172109825921831272e-01	2.000000000000000000e+00	5.000000000000000000e+00
